cyc.time_seconds,veh.history.speed_ach_meters_per_second,veh.pt_type.BEV.res.history.soc,battery_energy_step_j,battery_energy_cum_j
240.0,21.01122089,0.9999795478941358,83479.72698566115,27356776.32185628
241.0,20.96651616,0.9999795154539733,44069.960637706914,27400846.282493986
242.0,20.92181144,0.9999794831904211,43830.03578600935,27444676.318279997
243.0,20.96651616,0.9999793938269496,121400.27606175092,27566076.594341747
244.0,21.01122089,0.9999793041718109,121796.50586117775,27687873.100202926
245.0,21.10063034,0.9999791859038373,160667.0421934359,27848540.14239636
246.0,21.23474451,0.9999790389493536,199637.66616421883,28048177.80856058
247.0,21.41356341,0.9999788630755516,238924.56003156837,28287102.368592147
248.0,21.45826814,0.9999787704676397,125807.84826175532,28412910.2168539
249.0,21.45826814,0.9999787066571548,86686.5436964491,28499596.76055035
250.0,21.45826814,0.9999786428466699,86686.5436964491,28586283.3042468
251.0,21.45826814,0.999978579036185,86686.5436964491,28672969.847943246
252.0,21.45826814,0.9999785152257001,86686.5436964491,28759656.391639695
253.0,21.50297286,0.9999784223188761,126213.92042537595,28885870.312065072
254.0,21.54767759,0.9999783291124604,126620.91567611178,29012491.227741186
255.0,21.54767759,0.9999782648220746,87338.48909293789,29099829.716834124
256.0,21.50297286,0.9999782302098384,47020.72289767996,29146850.439731803
257.0,21.72649649,0.9999780240263666,280100.246546159,29426950.686277963
258.0,21.86061067,0.9999778714011477,207341.35983043848,29634292.046108402
259.0,21.95002012,0.999977746423639,169781.94551604378,29804073.991624445
260.0,21.95002012,0.9999776799412605,90316.31123415548,29894390.3028586
261.0,21.95002012,0.999977613458882,90316.31123415548,29984706.614092752
262.0,21.95002012,0.9999775469765035,90316.31123415548,30075022.925326906
263.0,21.95002012,0.999977480494125,90316.31123415548,30165339.23656106
264.0,21.90531539,0.9999774441884437,49321.268152146215,30214660.504713207
265.0,21.86061067,0.9999774080736631,49061.9295216873,30263722.434234895
266.0,21.54767759,0.999977500949355,-139802.35722475723,30123920.077010136
267.0,21.32415396,0.9999775551166783,-81536.07617547686,30042384.00083466
268.0,21.23474451,0.9999775519750717,4267.872636349988,30046651.87347101
269.0,21.10063034,0.9999775683677834,-24675.34496421808,30021976.528506793
270.0,20.87710671,0.9999776220978518,-80877.89234737554,29941098.636159416
271.0,20.65358308,0.999977675591829,-80522.51305525383,29860576.123104163
272.0,20.56417363,0.9999776739638153,2211.6566016008596,29862787.779705763
273.0,20.47476418,0.9999776724874402,2005.6555812252782,29864793.435286988
274.0,20.38535473,0.9999776711606929,1802.386141244547,29866595.821428232
275.0,20.29594528,0.9999776699815716,1601.8363793552594,29868197.65780759
276.0,20.20653583,0.9999776689480828,1403.994393239551,29869601.65220083
277.0,20.11712638,0.9999776680582424,1208.848280591504,29870810.50048142
278.0,19.9830122,0.999977685183209,-25777.58118495364,29845032.919296466
279.0,19.89360275,0.9999776846438646,732.6993260040845,29845765.61862247
280.0,19.75948858,0.9999777018815361,-25947.231854122518,29819818.38676835
281.0,19.4465555,0.9999777887102529,-130700.06832285092,29689118.318445496
282.0,19.13362242,0.9999778745539512,-129217.35629474116,29559900.962150756
283.0,18.77598462,0.9999779761169565,-152879.05016652885,29407021.911984228
284.0,17.92659484,0.999978254037923,-418344.1915859598,28988677.72039827
285.0,17.25602396,0.9999784588947028,-308363.36345455673,28680314.35694371
286.0,16.76427198,0.9999785972505034,-208261.88924090852,28472052.467702802
287.0,16.00429165,0.9999788181928752,-332576.4122308027,28139476.055472
288.0,15.51253968,0.9999789474125582,-194509.62813497533,27944966.427337024
289.0,15.1996066,0.9999790192019854,-108061.97978606407,27836904.44755096
290.0,14.88667352,0.999979089751698,-106195.88315033683,27730708.564400624
291.0,14.52903572,0.999979171989262,-123789.17530876225,27606919.38909186
292.0,14.17139792,0.9999792524536367,-121120.05873984989,27485799.330352012
293.0,13.67964594,0.9999793678086765,-173639.69133366548,27312159.639018346
294.0,13.23259869,0.9999794676021505,-150215.43989843864,27161944.199119907
295.0,12.87496088,0.999979541472211,-111193.88059069723,27050750.31852921
296.0,12.69614198,0.99997956862428,-40871.008954411875,27009879.309574798
297.0,12.78555143,0.9999795051571819,86220.05262000105,27096099.3621948
298.0,13.18789396,0.9999793204850852,250877.04344870555,27346976.405643504
299.0,14.03728374,0.99997894948661,504001.42850742163,27850977.834150925
300.0,14.93137825,0.999978531984198,567177.0267571824,28418154.860908106
301.0,15.9148822,0.9999780401598949,668143.3156796821,29086298.176587787
302.0,16.76427198,0.9999775863209485,616540.2087811199,29702838.385368906
303.0,17.47954759,0.9999771811779486,550386.7652200321,30253225.150588937
304.0,17.97129957,0.9999768809707337,407831.5016109912,30661056.652199928
305.0,18.37364209,0.999976619598249,355074.5204360216,31016131.17263595
306.0,18.68657517,0.9999764000884857,298204.0135787697,31314335.18621472
307.0,18.95480352,0.9999762006034048,271000.4824240861,31585335.668638807
308.0,19.13362242,0.9999760471473228,208470.0873508085,31793805.755989615
309.0,19.35714605,0.9999758670256322,244695.3166336861,32038501.0726233
